id	SR1	SR2	SR3	SR4	SR5	SR6	SR7	SR8	SR9	SR10	SR11	SR12	SR13	SR14	SR15	SR16	SR17	SR18	SR19	SR20	SR21	SR22	SR23	SR24	SRF1	SRf2	SRF3	SRF4	SRF5	SRF6	SRF7	SRF8	SRF9	SRF10	SRF11	SRF12	SRF13	SRF14	SRF15	SRF16	SS1	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	SS10	SS11	SS12	SS13	SSF1	SSF2	SSF3	SSF4	SSF5	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
hsa-miR-142-5p	-0.01	-4.94	-5.86	0.01	-4.37	0.01	0.01	0.01	0.01	0.01	0.01	-4.88	-5.5	-4.59	0.05	-5.73	-5.47	0.01	0.01	0.01	0.01	0.01	-5.34	-5.72	0.01	0.01	-5.11	0.01	-4.85	-5.32	-5.55	-4.82	-5.71	-5.37	0.01	0.01	-4.63	-5.82	-5	0.01	-6.16	-5.97	-4.71	-5.47	0.01	-5.7	0.01	-0.44	-5.35	-5.63	-5.06	-4.59	-5.19	0.08	0.01	6.32	-5.21	-3.53	-4.19	-5.41	-5.25	-2.22	0.01	-5.45	0.01	0.01	0.01	0.01
hsa-miR-133b	0.21	-4.95	-5.88	0	-4.38	0	0	0	0	0	0	-4.89	-5.52	-4.61	-6.5	-5.74	-0.29	0	0	0	0	0	-0.75	-0.56	0	0	-5.13	0	-4.87	-1.26	-5.57	-4.84	-5.72	-5.39	0	0	0.01	0.26	-5.01	0	-6.18	-5.99	-4.72	-5.48	0	-5.72	0	-0.86	-5.36	-1.69	-1.32	-0.42	-1.24	0.21	4.11	0	-0.42	0.33	-4.2	-0.36	-5.27	-6.51	0	-1.15	0	0	0	0
hsa-miR-1470	-6.13	-4.95	-5.88	0	-4.38	0	0	0	0	0	0	-4.89	-0.25	-4.61	-6.5	-0.44	-0.34	0	0	0	0	0	-0.28	-0.51	0	0	-5.13	0	0.36	-1.18	-1.28	-4.84	-5.72	0	0	0	-4.64	-1.57	-5.01	5.16	-6.18	-5.99	-4.72	-5.48	0	-5.72	0	-0.46	-0.06	0.14	-0.05	-0.65	0.04	-1.44	5.39	5.45	-0.17	1.46	-4.2	-0.31	0	-6.51	0	-5.46	0	0	0	0
hsa-miR-133a-3p	-6.08	-4.9	-5.83	0.05	-4.33	0.05	0.05	0.05	0.05	0.05	0.05	-4.84	-0.16	-4.56	-6.45	-0.54	-0.16	0.05	0.05	0.05	0.05	0.05	-0.19	-5.68	0.05	0.05	-5.07	0.05	-4.81	-1.22	-1.22	-4.78	-1.5	-5.34	0.05	0.05	-4.59	-5.78	-4.96	5.2	-6.12	-5.93	-4.67	-5.43	0.05	-5.66	0.05	-0.61	-0.26	-1.39	0.13	-0.3	0.09	-1.26	5.35	5.33	-0.05	1.84	-4.15	-0.33	-0.1	-6.45	0.05	-5.41	0.05	0.05	0.05	0.05
hsa-miR-101-3p	0.23	-4.95	-1.67	0	-4.38	0	0	0	0	0	0	-4.89	-5.52	-4.61	0.45	-5.74	-5.48	0	0	0	0	0	-5.35	-5.74	0	0	-5.13	0	-4.87	-5.33	-5.57	-4.84	-5.72	-5.39	0	0	-4.64	0.61	-5.01	0	-6.18	-5.99	-4.72	-5.48	0	-5.72	0	0.29	-5.36	-5.64	-5.08	-4.61	-5.2	-1.26	0	0	-5.23	-3.54	-4.2	-5.43	-5.27	-1.56	0	-0.58	0	0	0	0
hsa-miR-1267	-6.08	-4.89	-5.82	0.06	-4.33	0.06	0.06	0.06	0.06	0.06	0.06	-4.83	-1.41	-4.55	-2.36	-5.68	-0.06	0.06	0.06	0.06	0.06	0.06	-1	-5.68	0.06	0.06	-5.07	0.06	-4.81	-5.27	-5.51	-4.78	-5.67	-5.33	0.06	0.06	-4.58	-5.77	-4.95	5.08	-6.12	-5.93	-4.66	-5.43	0.06	-5.66	0.06	-1.73	-1.16	0.02	-0.01	-4.55	0.01	-1.58	5.42	4.19	-0.02	0.51	-4.14	-1.44	-1.22	-6.45	0.06	-5.41	0.06	0.06	0.06	0.06
hsa-miR-125a-3p	-1.41	-4.88	-5.8	0.08	-4.31	0.08	0.08	0.08	0.08	0.08	0.08	-4.82	-0.8	-0.59	-1.97	-5.67	-5.41	0.08	0.08	0.08	0.08	0.08	0	-0.2	0.08	0.08	-5.05	0.08	-4.79	-5.25	-5.49	-4.76	-1.58	-5.31	0.08	0.08	0.33	-0.14	-4.94	0.08	-6.1	-5.91	-4.65	-5.41	0.08	-5.64	0.08	-5.92	-5.28	-5.57	-5	-4.53	-5.13	-5.65	0.08	0.08	-5.15	-3.47	-4.13	-0.62	-5.19	-6.43	0.08	-0.49	0.08	0.08	0.08	0.08
hsa-miR-127-3p	-1.67	-4.95	-5.88	0	-4.38	0	0	0	0	0	0	0.03	0.35	-4.61	-6.5	-5.74	-5.48	0	0	0	0	0	-5.35	0.6	0	0	-5.13	0	-4.87	-0.71	-5.57	-4.84	-5.72	-5.39	0	0	0.78	1.01	-0.18	0	-6.18	-5.99	-4.72	-5.48	0	-5.72	0	-1.67	-1.19	-5.64	-5.08	-4.61	-5.2	-5.73	0	0	-5.23	-3.54	-4.2	-1.43	-5.27	-6.51	0	-5.46	0	0	0	0
hsa-miR-148b-3p	-0.45	-4.88	-1.01	0.08	-4.31	0.08	0.08	0.08	0.08	0.08	0.08	-4.82	-0.67	-4.53	0.03	-5.67	-0.91	0.08	0.08	0.08	0.08	0.08	-1.04	-0.02	0.08	0.08	-5.05	0.08	-4.79	-1.13	-1.15	-4.76	-0.67	-5.31	0.08	0.08	-0.05	0.55	-0.64	0.08	-6.1	-5.91	-4.65	-5.41	0.08	-5.64	0.08	-0.64	-5.28	-5.57	-5	-0.57	-5.12	-0.19	0.08	0.08	-5.15	-3.46	-4.13	-0.81	-5.19	-1.42	0.08	-5.39	0.08	0.08	0.08	0.08
hsa-miR-132-3p	-0.57	-3.81	-4.73	1.15	-3.24	1.15	1.15	1.15	1.15	1.15	1.15	-3.75	-4.37	-3.46	-1.03	-4.6	-4.33	1.15	1.15	1.15	1.15	1.15	-4.21	0.15	1.15	1.15	-3.98	1.15	-3.72	-4.18	-4.42	-3.69	-0.28	-4.24	1.15	1.15	0.95	-0.07	-3.87	1.15	-5.03	-4.84	-3.58	-4.34	1.15	-4.57	1.15	-4.85	-4.21	-4.5	-3.93	-3.46	-4.05	-0.47	1.15	1.15	-4.08	-2.39	-3.06	-4.28	-4.12	-0.92	1.15	-4.32	1.15	1.15	1.15	1.15
