id	Group	hsa-let-7a-3p	hsa-let-7a-5p	hsa-let-7b-3p	hsa-let-7b-5p	hsa-let-7c-3p	hsa-let-7c-5p	hsa-let-7d-3p	hsa-let-7d-5p	hsa-let-7e-3p	hsa-let-7e-5p	hsa-let-7f-1-3p	hsa-let-7f-2-3p	hsa-let-7f-5p	hsa-let-7g-3p	hsa-let-7g-5p	hsa-let-7i-3p	hsa-let-7i-5p	hsa-miR-1-3p	hsa-miR-1-5p	hsa-miR-100-3p	hsa-miR-100-5p	hsa-miR-101-3p	hsa-miR-101-5p	hsa-miR-103a-2-5p	hsa-miR-103a-3p	hsa-miR-103b	hsa-miR-105-3p	hsa-miR-105-5p	hsa-miR-106a-3p	hsa-miR-106b-3p	hsa-miR-106b-5p	hsa-miR-107	hsa-miR-10a-3p	hsa-miR-10a-5p	hsa-miR-10b-3p	hsa-miR-10b-5p	hsa-miR-1178-3p	hsa-miR-1178-5p	hsa-miR-1179	hsa-miR-1180-3p	hsa-miR-1180-5p	hsa-miR-1181	hsa-miR-1182	hsa-miR-1183	hsa-miR-1184	hsa-miR-1185-1-3p	hsa-miR-1185-2-3p	hsa-miR-1185-5p	hsa-miR-1193	hsa-miR-1197	hsa-miR-1199-3p	hsa-miR-1199-5p	hsa-miR-1200	hsa-miR-1202	hsa-miR-1203	hsa-miR-1204	hsa-miR-1205	hsa-miR-1206	hsa-miR-1207-3p	hsa-miR-1207-5p	hsa-miR-1208	hsa-miR-122-3p	hsa-miR-122-5p	hsa-miR-1224-3p	hsa-miR-1224-5p	hsa-miR-1225-5p	hsa-miR-1226-3p	hsa-miR-1226-5p	hsa-miR-1227-3p	hsa-miR-1227-5p	hsa-miR-1228-3p	hsa-miR-1228-5p	hsa-miR-1229-3p	hsa-miR-1229-5p	hsa-miR-1231	hsa-miR-1233-3p	hsa-miR-1233-5p	hsa-miR-1234-3p	hsa-miR-1236-3p	hsa-miR-1236-5p	hsa-miR-1237-3p	hsa-miR-1237-5p	hsa-miR-1238-3p	hsa-miR-1238-5p	hsa-miR-124-3p	hsa-miR-124-5p	hsa-miR-1243	hsa-miR-1244	hsa-miR-1245a	hsa-miR-1245b-3p	hsa-miR-1245b-5p	hsa-miR-1246	hsa-miR-1247-3p	hsa-miR-1247-5p	hsa-miR-1248	hsa-miR-1249-3p	hsa-miR-1249-5p	hsa-miR-1250-3p	hsa-miR-1250-5p	hsa-miR-1251-3p	hsa-miR-1251-5p	hsa-miR-1252-3p	hsa-miR-1252-5p	hsa-miR-1253	hsa-miR-1254	hsa-miR-1255a	hsa-miR-1255b-2-3p	hsa-miR-1255b-5p	hsa-miR-1256	hsa-miR-1257	hsa-miR-1258	hsa-miR-125a-3p	hsa-miR-125a-5p	hsa-miR-125b-1-3p	hsa-miR-125b-2-3p	hsa-miR-125b-5p	hsa-miR-126-3p	hsa-miR-126-5p	hsa-miR-1260a	hsa-miR-1260b	hsa-miR-1261	hsa-miR-1262	hsa-miR-1263	hsa-miR-1264	hsa-miR-1265	hsa-miR-1266-3p	hsa-miR-1266-5p	hsa-miR-1267	hsa-miR-1268a	hsa-miR-1268b	hsa-miR-1269a	hsa-miR-1269b	hsa-miR-127-3p	hsa-miR-127-5p	hsa-miR-1270	hsa-miR-1271-3p	hsa-miR-1271-5p	hsa-miR-1272	hsa-miR-1273a	hsa-miR-1273c	hsa-miR-1273d	hsa-miR-1273e	hsa-miR-1273f	hsa-miR-1273g-3p	hsa-miR-1273g-5p	hsa-miR-1273h-3p	hsa-miR-1273h-5p	hsa-miR-1275	hsa-miR-1276	hsa-miR-1277-3p	hsa-miR-1278	hsa-miR-1279	hsa-miR-128-1-5p	hsa-miR-128-2-5p	hsa-miR-128-3p	hsa-miR-1281	hsa-miR-1282	hsa-miR-1283	hsa-miR-1284	hsa-miR-1285-3p	hsa-miR-1285-5p	hsa-miR-1286	hsa-miR-1287-3p	hsa-miR-1287-5p	hsa-miR-1288-3p	hsa-miR-1288-5p	hsa-miR-1289	hsa-miR-129-1-3p	hsa-miR-129-2-3p	hsa-miR-129-5p	hsa-miR-1290	hsa-miR-1291	hsa-miR-1292-3p	hsa-miR-1292-5p	hsa-miR-1293	hsa-miR-1294	hsa-miR-1295a	hsa-miR-1295b-3p	hsa-miR-1295b-5p	hsa-miR-1296-3p	hsa-miR-1296-5p	hsa-miR-1297	hsa-miR-1298-3p	hsa-miR-1298-5p	hsa-miR-1299	hsa-miR-1301-3p	hsa-miR-1301-5p	hsa-miR-1302	hsa-miR-1303	hsa-miR-1304-3p	hsa-miR-1304-5p	hsa-miR-1305	hsa-miR-1306-3p	hsa-miR-1306-5p	hsa-miR-1307-3p	hsa-miR-1307-5p	hsa-miR-130a-3p	hsa-miR-130a-5p	hsa-miR-130b-3p	hsa-miR-130b-5p	hsa-miR-132-3p	hsa-miR-132-5p	hsa-miR-1321	hsa-miR-1322	hsa-miR-1323	hsa-miR-1324	hsa-miR-133a-3p	hsa-miR-133a-5p	hsa-miR-133b	hsa-miR-134-3p	hsa-miR-134-5p	hsa-miR-1343-3p	hsa-miR-1343-5p	hsa-miR-135a-3p	hsa-miR-135a-5p	hsa-miR-135b-3p	hsa-miR-135b-5p	hsa-miR-136-3p	hsa-miR-136-5p	hsa-miR-137	hsa-miR-138-1-3p	hsa-miR-138-2-3p	hsa-miR-138-5p	hsa-miR-139-3p	hsa-miR-139-5p	hsa-miR-140-3p	hsa-miR-140-5p	hsa-miR-141-3p	hsa-miR-141-5p	hsa-miR-142-3p	hsa-miR-142-5p	hsa-miR-143-3p	hsa-miR-143-5p	hsa-miR-144-3p	hsa-miR-144-5p	hsa-miR-145-3p	hsa-miR-145-5p	hsa-miR-1468-3p	hsa-miR-1468-5p	hsa-miR-1469	hsa-miR-146a-3p	hsa-miR-146a-5p	hsa-miR-146b-3p	hsa-miR-146b-5p	hsa-miR-1470	hsa-miR-1471	hsa-miR-147a	hsa-miR-147b	hsa-miR-148a-3p	hsa-miR-148a-5p	hsa-miR-148b-3p
SR1	SR	-1.64	0.57	-0.28	-0.77	-1.64	0.32	0.06	0.86	-1.64	1.93	-0.72	-1.64	1.51	-1.64	0.42	-1.64	0.33	4.01	-1.64	-1.64	-1.84	0.23	-1.64	-1.64	0.89	-1.64	-1.64	-1.64	-3.15	-1.64	1.32	1.3	-1.64	1.92	-1.64	-1.64	-1.64	-1.64	-1.64	-3.27	-1.64	-1.84	-1.64	-1.64	-1.64	-4.26	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-6.13	-1.64	-1.64	-1.64	-1.64	-1.64	0.43	-1.64	-1.64	-1.84	0.26	-1.64	-0.26	-1.64	-1.64	-0.79	-1.64	-2.56	-5.17	-1.34	-2.26	-1.64	-1.64	-1.64	-1.8	0.07	-1.64	-6.13	-1.64	-3.01	-0.75	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.89	-1.64	-1.64	-1.64	-1.2	-1.84	1.3	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-3.76	-1.64	-1.64	-1.64	-1.64	-1.41	2.34	-4.6	-1.64	-0.2	2.49	2.99	0.73	0.98	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-6.08	-0.02	-0.42	-1.64	-1.64	-1.67	-1.64	-1.64	-1.64	-0.21	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	0.21	-1.64	-1.64	-1.64	-1.58	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	1.68	-0.9	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.85	-1.64	-1.64	-1.64	-6.12	-6.13	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-1.64	-5.65	0.53	-1.64	-1.64	-1.64	-1.64	-2.26	-1.64	-1.64	-1.64	-6.97	-1.64	-3.51	-1.84	2.8	-1.64	-1.64	1.72	-1.84	0.86	-1.64	-0.57	-1.64	-1.64	-1.64	-1.64	-1.64	-6.08	-1.64	0.21	-3.85	-4.74	-1.64	-1.64	-4.08	-1.64	-1.84	-0.53	-1.64	0.09	-1.64	-1.64	-5.33	-1.64	-1.02	2.37	1.01	0.89	-1.64	-1.64	2.51	-0.01	2.89	-1.64	-4.89	-0.59	-1.64	1.98	-1.64	-1.64	-1.84	-1.64	2.6	-1.64	1.71	-6.13	-1.64	-1.64	-1.64	2.07	-5.58	-0.45
SR2	SR	-0.46	-0.05	0.18	-0.63	-0.46	0.18	-0.11	-0.18	-0.46	0.65	-0.42	-0.46	0.52	-0.46	0.29	-0.46	-0.41	-0.66	-0.46	-0.46	-0.66	-4.95	-0.46	-0.46	-0.26	-0.46	-0.46	-0.46	-1.97	-0.46	-0.26	0.27	-0.46	-1.08	-0.46	-0.46	-0.46	-0.46	-0.46	-2.09	-0.46	-0.66	-0.46	-0.46	-0.46	-3.07	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.95	-0.46	-0.46	-0.46	-0.46	-0.46	1.24	-0.46	-0.46	-0.66	0.34	-0.46	1.28	-0.46	-0.46	-0.59	-0.46	-1.24	-3.99	-4.92	-1.08	-0.46	-0.46	-0.46	-0.53	-3.35	-0.46	-4.95	-0.46	-2.71	-4.95	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.95	-0.46	-0.46	-0.46	-5.31	-0.66	1.97	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-2.58	-0.46	-0.46	-0.46	-0.46	-4.88	1.61	-3.42	-0.46	0.79	1.06	-2.49	0.98	1.27	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.89	0.89	0.75	-0.46	-0.46	-4.95	-0.46	-0.46	-0.46	-3.29	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	0.33	-0.46	-0.46	-0.46	-0.06	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.95	-0.18	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.95	-0.46	-0.46	-0.46	-4.94	-4.95	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-4.47	0.85	-0.46	-0.46	-0.46	-0.46	-1.08	-0.46	-0.46	-0.46	-5.79	-0.46	-2.33	-0.66	-1.08	-0.46	-0.46	0.74	-0.66	-4.95	-0.46	-3.81	-0.46	-0.46	-0.46	-0.46	-0.46	-4.9	-0.46	-4.95	-2.67	-3.55	-0.46	-0.46	-2.9	-0.46	-0.66	-0.17	-0.46	1.32	-0.46	-0.46	-4.15	-0.46	0.72	-1.08	0.56	-4.95	-0.46	-0.46	1.35	-4.94	-0.66	-0.46	-3.71	-3.62	-0.46	-0.13	-0.46	-0.46	-0.66	-0.46	1.23	-0.46	1.9	-4.95	-0.46	-0.46	-0.46	-4.95	-4.39	-4.88
SR3	SR	-1.38	0.33	-0.53	-0.68	-1.38	0.19	-0.31	0.33	-1.38	0.45	-0.3	-1.38	1.1	-1.38	0.32	-1.38	-0.3	-1.58	-1.38	-1.38	-1.58	-1.67	-1.38	-1.38	0.15	-1.38	-1.38	-1.38	-2.9	-1.38	0.18	0.6	-1.38	-2.01	-1.38	-1.38	-1.38	-1.38	-1.38	-3.02	-1.38	-1.58	-1.38	-1.38	-1.38	-4	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.51	-1.38	-1.38	-1.38	-1.38	-1.38	0.61	-1.38	-1.38	-1.58	0.62	-1.38	0.11	-1.38	-1.38	-1.18	-1.38	-2.22	-4.91	-1.96	-2.01	-1.38	-1.38	-1.38	-1.27	-0.47	-1.38	-5.88	-1.38	-2.1	-0.35	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.11	-1.38	-1.38	-1.38	-1.93	-1.58	2.1	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-3.51	-1.38	-1.38	-1.38	-1.38	-5.8	0.46	-4.34	-1.38	-4.57	1.54	1.07	0.72	1.11	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-5.82	-0.04	-0.09	-1.38	-1.38	-5.88	-1.38	-1.38	-1.38	-4.21	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	0.64	-1.38	-1.38	-1.38	-1.18	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	0.7	-0.45	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-0.27	-1.38	-1.38	-1.38	-5.87	-5.88	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-1.38	-5.4	0.39	-1.38	-1.38	-1.38	-1.38	-2.01	-1.38	-1.38	-1.38	-6.71	-1.38	-3.26	-1.58	-2.01	-1.38	-1.38	1.5	-1.58	0.68	-1.38	-4.73	-1.38	-1.38	-1.38	-1.38	-1.38	-5.83	-1.38	-5.88	-3.6	-4.48	-1.38	-1.38	-3.83	-1.38	-1.58	-0.17	-1.38	0.48	-1.38	-1.38	-1.71	-1.38	-0.53	-2.01	0.46	-0.46	-1.38	-1.38	1.46	-5.86	-1.58	-1.38	-4.63	-4.54	-1.38	0.82	-1.38	-1.38	-1.58	-1.38	1.94	-1.38	1.94	-5.88	-1.38	-1.38	-1.38	0.47	-5.32	-1.01
SR4	SR	4.5	-1.16	5.15	0.05	4.5	0.36	0.22	-1.75	4.5	-2.74	5.64	4.5	-0.82	4.5	-2.47	4.5	-6	4.29	4.5	4.5	4.29	0	4.5	4.5	-5.28	4.5	4.5	4.5	6.63	4.5	-2.36	-4.52	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	5.55	4.5	-1	4.5	4.5	4.04	4.5	3.63	0.96	0.03	3.87	4.5	4.5	4.5	4.49	1.6	4.5	0	4.5	3.16	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	3.87	4.29	8.67	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	-2.31	2.47	5.78	6.05	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	0	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	0.91	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	4.95	4.5	4.5	4.5	4.5	4.5	4.5	4.5	6.39	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	6.11	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	-0.83	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	6.77	4.5	7.17	4.5	4.5	0.81	4.5	0.03	3.87	-2.14	0	4.5	4.5	-1.35	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	-1.46	4.5	-0.62	0	4.5	8.78	4.5	0	0.56	0.08
SR5	SR	0.11	0.12	-0.28	-0.55	0.11	0.31	-4.17	0.2	0.11	-0.29	0.79	0.11	0.67	0.11	0.11	0.11	-0.54	-0.09	0.11	0.11	-0.09	-4.38	0.11	0.11	0.2	0.11	0.11	0.11	-1.4	0.11	0.37	0.61	0.11	-0.51	0.11	0.11	0.11	0.11	0.11	-1.52	0.11	-0.09	0.11	0.11	0.11	-2.51	0.11	0.11	0.11	0.11	0.11	0.11	0.11	-4.38	0.11	0.11	0.11	0.11	0.11	-0.26	0.11	0.11	-0.09	0.36	0.11	0.53	0.11	0.11	-4.09	0.11	-1.88	-3.42	-4.35	-0.51	0.11	0.11	0.11	-0.44	-2.78	0.11	-4.38	0.11	-2.28	-4.38	0.11	0.11	0.11	0.11	0.11	0.11	0.11	-4.38	0.11	0.11	0.11	-4.74	-0.09	2.79	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	-2.01	0.11	0.11	0.11	0.11	-4.31	0.07	-2.85	0.11	-3.08	0.77	-1.92	0.93	1.18	0.11	0.11	0.11	0.11	0.11	0.11	0.11	-4.33	0.11	-4.38	0.11	0.11	-4.38	0.11	0.11	0.11	-2.72	0.11	0.11	0.11	0.11	0.11	0.11	0.69	0.11	0.11	0.11	-4.38	0.11	0.11	0.11	0.11	0.11	0.11	-0.39	-0.37	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.6	0.11	0.11	0.11	-4.37	-4.38	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	-3.9	0.83	0.11	0.11	0.11	0.11	-0.51	0.11	0.11	0.11	-5.22	0.11	-1.76	-0.09	-0.51	0.11	0.11	0.6	-0.09	-4.38	0.11	-3.24	0.11	0.11	0.11	0.11	0.11	-4.33	0.11	-4.38	-2.11	-2.99	0.11	0.11	-2.33	0.11	-0.09	1.38	0.11	1.23	0.11	0.11	-3.58	0.11	-0.21	-0.51	0.82	-4.38	0.11	0.11	1.89	-4.37	-0.09	0.11	-3.14	-3.05	0.11	1.18	0.11	0.11	-0.09	0.11	1.37	0.11	1.85	-4.38	0.11	0.11	0.11	-0.44	-3.83	-4.31
SR6	SR	4.5	3.44	-0.04	3.28	4.5	3.99	0.22	3.36	4.5	3.06	3.32	4.5	3.96	4.5	3.64	4.5	2.9	4.29	4.5	4.5	4.29	0	4.5	4.5	3.33	4.5	4.5	4.5	2.98	4.5	3.66	3.8	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	3.32	4.5	4.56	4.5	4.5	3.61	4.5	3.48	0.96	0.03	3.87	4.5	4.5	4.5	4.17	1.6	4.5	0	4.5	3.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.14	4.5	4.5	4.5	-0.36	4.29	7.03	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	3.63	2.47	4.75	4.94	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	4.67	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	4.6	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	3.7	4.5	4.5	4.5	4.5	4.5	4.5	4.5	5.37	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	0	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	-0.83	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	4.54	4.5	5.76	4.5	4.5	0.81	4.5	0.03	3.87	4.14	0	4.5	4.5	5.18	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	4.42	4.5	5.45	0	4.5	4.5	4.5	0	0.56	0.08
SR7	SR	4.5	0.71	-0.04	0.6	4.5	0.19	0.22	0.7	4.5	1.36	0	4.5	0.91	4.5	-0.06	4.5	0.12	4.29	4.5	4.5	4.29	0	4.5	4.5	-0.11	4.5	4.5	4.5	2.98	4.5	-2.36	0.46	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	0	4.5	-1	4.5	4.5	0.29	4.5	3.68	0.96	0.03	3.87	4.5	4.5	4.5	3.93	1.6	4.5	0	4.5	4.07	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	-0.36	4.29	-0.74	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	-2.31	2.47	3.46	2.75	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	0	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	-0.35	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	3.07	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	0	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	3.36	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	0.31	4.5	0	4.5	4.5	0.81	4.5	0.03	3.87	-2.14	0	4.5	4.5	-1.35	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	-1.46	4.5	-0.62	0	4.5	4.5	4.5	0	0.56	0.08
SR8	SR	4.5	-1.18	-0.04	-0.98	4.5	-5.09	0.22	-1.58	4.5	-2.74	0	4.5	-1.19	4.5	-1.87	4.5	-6	4.29	4.5	4.5	4.29	0	4.5	4.5	-5.28	4.5	4.5	4.5	2.98	4.5	-2.36	-4.52	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	0	4.5	-1	4.5	4.5	0.29	4.5	-1.73	0.96	0.03	3.87	4.5	4.5	4.5	3.8	1.6	4.5	0	4.5	-1.22	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	5.9	4.5	4.5	4.5	-0.36	4.29	-0.74	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	-2.31	2.47	-1.98	-1.46	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	0	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	-0.15	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	-2.85	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	0	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	-0.83	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	0.31	4.5	0	4.5	4.5	0.81	4.5	0.03	3.87	-2.14	0	4.5	4.5	-1.35	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	-1.46	4.5	-0.62	0	4.5	4.5	4.5	0	0.56	0.08
SR9	SR	4.5	-0.29	-0.04	-0.76	4.5	-0.91	0.22	-0.76	4.5	-2.74	3.32	4.5	-0.09	4.5	-1.43	4.5	-1.57	4.29	4.5	4.5	4.29	0	4.5	4.5	-0.93	4.5	4.5	4.5	2.98	4.5	-2.36	-0.46	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	0	4.5	-1	4.5	4.5	0.29	4.5	3.63	0.96	0.03	3.87	4.5	4.5	4.5	3.92	1.6	4.5	0	4.5	2.8	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	3.98	4.29	-0.74	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	-2.31	2.47	-1.98	-1.46	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	0	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	0.41	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	1.46	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	0	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	3.33	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	0.31	4.5	0	4.5	4.5	0.81	4.5	0.03	3.87	-2.14	0	4.5	4.5	-1.35	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	-1.46	4.5	-0.62	0	4.5	4.5	4.5	0	0.56	0.08
SR10	SR	4.5	-0.77	-0.04	-0.77	4.5	-5.09	0.22	-1.4	4.5	-2.74	0	4.5	-0.74	4.5	-0.82	4.5	-1.4	4.29	4.5	4.5	4.29	0	4.5	4.5	-0.82	4.5	4.5	4.5	2.98	4.5	-2.36	-4.52	4.5	3.87	4.5	4.5	4.5	4.5	4.5	2.86	4.5	4.29	4.5	4.5	4.5	1.88	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.29	0	4.5	-1	4.5	4.5	0.29	4.5	2.76	0.96	0.03	3.87	4.5	4.5	4.5	3.96	1.6	4.5	0	4.5	-1.22	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	-0.36	4.29	-0.74	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	2.37	4.5	4.5	4.5	4.5	0.08	0	1.54	4.5	1.3	-2.31	2.47	-1.98	-1.46	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.06	0	0	4.5	4.5	0	4.5	4.5	4.5	1.67	4.5	4.5	4.5	4.5	4.5	4.5	-0.65	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	4.5	0	-2.85	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5	0.01	0	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	0.48	0	4.5	4.5	4.5	4.5	3.87	4.5	4.5	4.5	-0.83	4.5	2.62	4.29	3.87	4.5	4.5	-0.63	4.29	0	4.5	1.15	4.5	4.5	4.5	4.5	4.5	0.05	4.5	0	2.28	1.4	4.5	4.5	2.05	4.5	4.29	0.31	4.5	0	4.5	4.5	0.81	4.5	0.03	3.87	-2.14	0	4.5	4.5	-1.35	0.01	4.29	4.5	1.25	1.33	4.5	0	4.5	4.5	4.29	4.5	-1.46	4.5	-0.62	0	4.5	4.5	4.5	0	0.56	0.08
