id	Group	hsa-miR-1267	hsa-miR-133a-3p	hsa-miR-142-5p	hsa-miR-133b	hsa-miR-130a-3p	hsa-miR-1470	hsa-miR-146b-5p	hsa-miR-1296-3p	hsa-miR-130b-3p	hsa-miR-101-3p
SR1	SR	-6.08	-6.08	-0.01	0.21	1.72	-6.13	1.71	-5.65	0.86	0.23
SR2	SR	-4.89	-4.9	-4.94	-4.95	0.74	-4.95	1.9	-4.47	-4.95	-4.95
SR3	SR	-5.82	-5.83	-5.86	-5.88	1.5	-5.88	1.94	-5.4	0.68	-1.67
SR4	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR5	SR	-4.33	-4.33	-4.37	-4.38	0.6	-4.38	1.85	-3.9	-4.38	-4.38
SR6	SR	0.06	0.05	0.01	0	-0.63	0	5.45	0.48	0	0
SR7	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR8	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR9	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR10	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR11	SR	0.06	0.05	0.01	0	-0.63	0	3.78	0.48	0	0
SR12	SR	-4.83	-4.84	-4.88	-4.89	1.63	-4.89	1.46	-4.41	0.76	-4.89
SR13	SR	-1.41	-0.16	-5.5	-5.52	2.92	-0.25	1.15	-5.04	1.29	-5.52
SR14	SR	-4.55	-4.56	-4.59	-4.61	1.07	-4.61	0.48	-4.13	0.43	-4.61
SR15	SR	-2.36	-6.45	0.05	-6.5	1.14	-6.5	1.01	-6.02	1.35	0.45
SR16	SR	-5.68	-0.54	-5.73	-5.74	0.18	-0.44	0.02	-1.15	-0.65	-5.74
SR17	SR	-0.06	-0.16	-5.47	-0.29	1.44	-0.34	0.65	-5	1.07	-5.48
SR18	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR19	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR20	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR21	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR22	SR	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SR23	SR	-1	-0.19	-5.34	-0.75	1.11	-0.28	2.3	-4.87	1.21	-5.35
SR24	SR	-5.68	-5.68	-5.72	-0.56	2.93	-0.51	2.07	-5.26	2.18	-5.74
SRF1	SRF	0.06	0.05	0.01	0	5.21	0	4.13	0.48	3.94	0
SRf2	SRF	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SRF3	SRF	-5.07	-5.07	-5.11	-5.13	2.28	-5.13	0.39	-0.3	1.76	-5.13
SRF4	SRF	0.06	0.05	0.01	0	6.45	0	6.65	0.48	6.06	0
SRF5	SRF	-4.81	-4.81	-4.85	-4.87	2.3	0.36	2.01	-4.38	0.89	-4.87
SRF6	SRF	-5.27	-1.22	-5.32	-1.26	2.45	-1.18	0.49	-4.85	1.14	-5.33
SRF7	SRF	-5.51	-1.22	-5.55	-5.57	1.1	-1.28	0.87	-5.08	0.98	-5.57
SRF8	SRF	-4.78	-4.78	-4.82	-4.84	1.12	-4.84	-0.38	-4.35	0.43	-4.84
SRF9	SRF	-5.67	-1.5	-5.71	-5.72	1.5	-5.72	-0.02	-5.24	1.53	-5.72
SRF10	SRF	-5.33	-5.34	-5.37	-5.39	-1.09	0	1.12	-4.91	-0.99	-5.39
SRF11	SRF	0.06	0.05	0.01	0	-0.63	0	3.7	0.48	0	0
SRF12	SRF	0.06	0.05	0.01	0	3.78	0	4.66	0.48	4.01	0
SRF13	SRF	-4.58	-4.59	-4.63	0.01	3.68	-4.64	2.56	-4.16	3.47	-4.64
SRF14	SRF	-5.77	-5.78	-5.82	0.26	2.69	-1.57	2.61	-5.35	2.4	0.61
SRF15	SRF	-4.95	-4.96	-5	-5.01	1.95	-5.01	1.54	-4.53	0.69	-5.01
SRF16	SRF	5.08	5.2	0.01	0	-0.63	5.16	-0.62	0.48	0	0
SS1	SS	-6.12	-6.12	-6.16	-6.18	-6.81	-6.18	-2.5	0.36	-6.18	-6.18
SS2	SS	-5.93	-5.93	-5.97	-5.99	-6.62	-5.99	-1.28	0.3	-5.99	-5.99
SS3	SS	-4.66	-4.67	-4.71	-4.72	0.58	-4.72	1.1	-4.24	-4.72	-4.72
SS4	SS	-5.43	-5.43	-5.47	-5.48	0.27	-5.48	0.47	-5	-1.09	-5.48
SS5	SS	0.06	0.05	0.01	0	5.58	0	5.76	0.48	4.45	0
SS6	SS	-5.66	-5.66	-5.7	-5.72	-6.35	-5.72	0.48	-5.24	-5.72	-5.72
SS7	SS	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
SS8	SS	-1.73	-0.61	-0.44	-0.86	1.65	-0.46	0.85	-5.51	0.97	0.29
SS9	SS	-1.16	-0.26	-5.35	-5.36	0.78	-0.06	-0.02	-4.88	0.28	-5.36
SS10	SS	0.02	-1.39	-5.63	-1.69	-6.27	0.14	-6.26	0.43	-5.64	-5.64
SS11	SS	-0.01	0.13	-5.06	-1.32	-0.18	-0.05	-0.52	-4.6	-0.8	-5.08
SS12	SS	-4.55	-0.3	-4.59	-0.42	1.14	-0.65	0.1	-4.13	0.25	-4.61
SS13	SS	0.01	0.09	-5.19	-1.24	0.41	0.04	0.11	-4.72	-0.82	-5.2
SSF1	SSF	-1.58	-1.26	0.08	0.21	2.55	-1.44	1.95	-5.24	1.29	-1.26
SSF2	SSF	5.42	5.35	0.01	4.11	-0.63	5.39	-0.62	0.48	0	0
SSF3	SSF	4.19	5.33	6.32	0	-0.63	5.45	-0.62	0.48	0	0
SSF4	SSF	-0.02	-0.05	-5.21	-0.42	0.5	-0.17	-0.3	-4.75	-0.27	-5.23
SSF5	SSF	0.51	1.84	-3.53	0.33	-4.17	1.46	-4.16	-3.06	-3.54	-3.54
C1	C	-4.14	-4.15	-4.19	-4.2	2.25	-4.2	0.61	-3.72	1.97	-4.2
C2	C	-1.44	-0.33	-5.41	-0.36	1.28	-0.31	0.02	-4.95	1.03	-5.43
C3	C	-1.22	-0.1	-5.25	-5.27	0.68	0	-1.65	-4.79	-0.46	-5.27
C4	C	-6.45	-6.45	-2.22	-6.51	0.3	-6.51	0.37	-1.81	0.01	-1.56
C5	C	0.06	0.05	0.01	0	-0.63	0	4.64	0.48	0	0
C6	C	-5.41	-5.41	-5.45	-1.15	1.04	-5.46	2.06	-4.98	1.53	-0.58
C7	C	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
C8	C	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
C9	C	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
C10	C	0.06	0.05	0.01	0	-0.63	0	-0.62	0.48	0	0
