id	Group	hsa-miR-142-5p	hsa-miR-133b	hsa-miR-1470	hsa-miR-133a-3p	hsa-miR-101-3p	hsa-miR-1267	hsa-miR-125a-3p	hsa-miR-127-3p	hsa-miR-148b-3p	hsa-miR-132-3p	hsa-miR-138-2-3p	hsa-miR-129-2-3p	hsa-miR-140-5p	hsa-miR-144-5p	hsa-miR-129-1-3p	hsa-miR-125b-5p	hsa-miR-1202	hsa-miR-144-3p	hsa-miR-1249-3p	hsa-miR-1237-3p	hsa-miR-1296-3p	hsa-miR-130b-3p	hsa-miR-1238-5p	hsa-miR-148a-5p	hsa-miR-1229-3p	hsa-let-7i-5p	hsa-miR-103a-3p	hsa-miR-1228-5p	hsa-miR-1287-5p
SR1	SR	-0.01	0.21	-6.13	-6.08	0.23	-6.08	-1.41	-1.67	-0.45	-0.57	-5.33	-6.13	0.89	-0.59	-6.12	-0.2	-6.13	-4.89	-1.2	-6.13	-5.65	0.86	-0.75	-5.58	-1.34	0.33	0.89	-5.17	-1.85
SR2	SR	-4.94	-4.95	-4.95	-4.9	-4.95	-4.89	-4.88	-4.95	-4.88	-3.81	-4.15	-4.95	-4.95	-3.62	-4.94	0.79	-4.95	-3.71	-5.31	-4.95	-4.47	-4.95	-4.95	-4.39	-4.92	-0.41	-0.26	-3.99	-4.95
SR3	SR	-5.86	-5.88	-5.88	-5.83	-1.67	-5.82	-5.8	-5.88	-1.01	-4.73	-1.71	-5.88	-0.46	-4.54	-5.87	-4.57	-1.51	-4.63	-1.93	-5.88	-5.4	0.68	-0.35	-5.32	-1.96	-0.3	0.15	-4.91	-0.27
SR4	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	3.87	0	0.48	0	0	0.56	0.03	-6	-5.28	0.96	6.39
SR5	SR	-4.37	-4.38	-4.38	-4.33	-4.38	-4.33	-4.31	-4.38	-4.31	-3.24	-3.58	-4.38	-4.38	-3.05	-4.37	-3.08	-4.38	-3.14	-4.74	-4.38	-3.9	-4.38	-4.38	-3.83	-4.35	-0.54	0.2	-3.42	0.6
SR6	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	2.9	3.33	0.96	5.37
SR7	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	0.12	-0.11	0.96	0
SR8	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-6	-5.28	0.96	0
SR9	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	3.98	0	0.48	0	0	0.56	0.03	-1.57	-0.93	0.96	0
SR10	SR	0.01	0	0	0.05	0	0.06	0.08	0	0.08	1.15	0.81	0	0	1.33	0.01	1.3	0	1.25	-0.36	0	0.48	0	0	0.56	0.03	-1.4	-0.82	0.96	0
